Categoria,Produto,Descrição,Imagem
Antenas,Antena Lora 915MHz,,TorRLD/fc-eletronica-catalogo/img/lora.png,
Capacitor,Capacitor cerâmico 2pF 50V,Capacitor cerâmico,TorRLD/fc-eletronica-catalogo/img/c2pf.png
,Capacitor cerâmico 3pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 5pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 30pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 33pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 47pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 100pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 150pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 220pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 1nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 1.5nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 2.2nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 10nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 15nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 22nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 10pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 15pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 22pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 68pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 75pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 82pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 330pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 470pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 680pF 50V,Capacitor cerâmico,
,Capacitor cerâmico 3.3nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 4.7nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 6.8nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 47nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 68nF 50V,Capacitor cerâmico,
,Capacitor cerâmico 100nF 50V,Capacitor cerâmico,
,Capacitor eletrolítico 0.1uF 50V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 0.22uF 50V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 0.47uF 50V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 1uF 50V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 2.2uF 50V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 3.3uF 50V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 4.7uF 50V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 10uF 25V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 10uF 50V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 22uF 16V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 22uF 25V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 33uF 16V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 47uF 10V 4x7,Capacitor eletrolítico ,
,Capacitor eletrolítico 47uF 25V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 47uF 50V 6x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 100uF 16V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 100uF 25V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 220uF 10V 5x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 220uF 25V 6x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 330uF 25V 8x12,Capacitor eletrolítico ,
,Capacitor eletrolítico 470uF 10V 6x11,Capacitor eletrolítico ,
,Capacitor eletrolítico 470uF 16V 8x12,Capacitor eletrolítico ,
,Capacitor eletrolítico 680uF 16V 8x12,Capacitor eletrolítico ,
,Capacitor eletrolítico 1000uF 16V 10x16,Capacitor eletrolítico ,
Célula de carga,Célula de carga 1kg,Célula de carga para balança,
,Célula de carga 5kg,Célula de carga para balança,
,Célula de carga 10kg,Célula de carga para balança,
Socket para CI,Socket 6 Pin,,
,Socket 8 Pin,,
,Socket 14 Pin,,
,Socket 16 Pin,,
,Socket 18 Pin,,
,Socket 20 Pin,,
,Socket 24 Pin,,
,Socket 28 Pin,,
Componente,Reed switch GPS-14B,,
,Interruptor de inclinação de vidro unidirecional 5mm,,
,Reed switch NO,,
,Reed switch NO / NC,,
conectores,conector com terminal de crimpagem E6012,,
,conector com terminal de crimpagem E4012,,
,conector com terminal de crimpagem E2512,,
,conector com terminal de crimpagem E1510,,
,conector com terminal de crimpagem E1008,,
,conector com terminal de crimpagem E7508,,
,conector com terminal de crimpagem E0506,,
,conector com terminal de crimpagem E0508,,
,conector de engate rapido laranja 250V/32A 412,Terminais de engate rápido tipo universal laranja ,
,conector de engate rapido laranja 250V/32A 413,Terminais de engate rápido tipo universal laranja ,
,conector de engate rapido laranja 250V/32A 414,Terminais de engate rápido tipo universal laranja ,
,conector de engate rapido laranja 250V/32A 415,Terminais de engate rápido tipo universal laranja ,
Oscilador,Cristal oscilador 4MHz,,
,Cristal oscilador 8MHz,,
,Cristal oscilador 12MHz,,
,Cristal oscilador 16MHz,,
,Cristal oscilador 20MHz,,
,Cristal oscilador 25MHz,,
,Cristal oscilador 32.768MHz,,
Diodo,Diodo zener 1N4727A 3V 1W,Diodo zener,
,Diodo zener 1N4728A 3.3V 1W,Diodo zener,
,Diodo zener 1N4729A 3.6V 1W,Diodo zener,
,Diodo zener 1N4730A 3.9V 1W,Diodo zener,
,Diodo zener 1N4731A 5.3V 1W,Diodo zener,
,Diodo zener 1N4732A 4.7V 1W,Diodo zener,
,Diodo zener 1N4733A 5.1V 1W,Diodo zener,
,Diodo zener 1N4734A 5.6V 1W,Diodo zener,
,Diodo zener 1N4735A 6.2V 1W,Diodo zener,
,Diodo zener 1N4736A 6.8V 1W,Diodo zener,
,Diodo zener 1N4737A 7.5V 1W,Diodo zener,
,Diodo zener 1N4738A 8.2V 1W,Diodo zener,
,Diodo zener 1N4739A 9.1V 1W,Diodo zener,
,Diodo zener 1N4740A 10V 1W,Diodo zener,
